case,api_value,mart_core_value,result
今日-官方7天-user_pay,2124216.95,2124216.95,PASS
今日-官方7天-transaction,2545921.44,2545921.44,PASS
整体-30天-user_pay,12479980.53,12479980.53,PASS
商品卡-7天-user_pay,845157.83,845157.83,PASS
商品卡快照-6月-pay,3202866.49,3202866.49,PASS
视频快照-6/30-7/6-pay,44185.42,44185.42,PASS
直播场次-数,1,2587.0,FAIL
