shop_id,platform_code,shop_code,shop_name,platform_shop_id,enabled,created_at
1,douyin,DY_DANDONG_OFFICIAL,弹动官方旗舰店,,t,2026-08-07 13:46:19.195357+08
2,douyin,DY_GERENHULI_OFFICIAL,弹动个人护理旗舰店,,t,2026-08-08 13:09:32.236338+08
